SR_no,ATM ID,SD & T,ED &T
127,E1AWDH18,43449.90417,43450.04792
128,E1AWDH18,43452.49444,43452.55278
129,E1AWDH18,43460.1125,43460.35764
130,E1AWDH18,43462.09375,43462.46319
131,E1AWDH20,43435.44931,43436.68542
132,E1AWDH20,43437.46389,43437.70208
133,E1AWDH20,43453.16944,43453.49653
134,E1AWDH20,43453.49653,43453.62708
135,E1AWDH20,43454.97847,43455.5125
136,E1AWDH20,43455.5125,43455.76806
137,E1AWDH21,43456.62708,43456.71389
138,E1AWDH22,43436.64167,43445.47014
139,E1AWDH22,43436.64167,43436.69028
140,E1AWDH22,43452.67986,43458.55625
141,E1AWDH22,43452.68333,43452.74306
142,E1AWDH22,43458.63681,43458.82361
143,E1AWDH22,43458.64028,43458.70069
144,E1AWDH22,43463.48542,43463.54097
145,E1AWDH22,43463.48542,43463.54097
146,E1AWDH22,43463.63472,43463.74861
147,E1AWDH22,43464.81528,43467.58542
148,E1AWDH24,43439.55903,43439.76111
149,E1AWDH24,43441.93194,43442.69306
150,E1AWDH25,43435.52153,43435.58056
151,E1AWDH25,43437.20625,43437.40694
152,E1AWDH25,43441.59028,43441.64931
153,E1AWDH25,43442.53056,43442.64722
154,E1AWDH25,43446.575,43446.73056
155,E1AWDH25,43447.36181,43447.42014
156,E1AWDH25,43447.42014,43447.52569
157,E1AWDH25,43447.43403,43447.52292
158,E1AWDH25,43448.06597,43448.40972
159,E1AWDH25,43448.40972,43448.54931
160,E1AWDH25,43448.70625,43448.99167
161,E1AWDH25,43448.78611,43448.86875
162,E1AWDH25,43449.3875,43449.48542
163,E1AWDH25,43451.25694,43451.35833
164,E1AWDH25,43462.50972,43462.76319
165,E1AWDH27,43453.48889,43453.92153
166,E1AWDH27,43457.49861,43458.38333
167,E1AWDH27,43458.39028,43458.46181
168,E1AWDH27,43458.46667,43458.53403
169,E1AWDH27,43458.53403,43458.80833
170,E1AWDH27,43462.57986,43463.50694
171,E1AWDH27,43463.50764,43465.37986
172,E1AWDH27,43463.66181,43463.73194
173,E1AWDH27,43465.64028,43465.74028
174,E1AWDH28,43440.57986,43440.68542
175,E1AWDH28,43440.71944,43440.79722
176,E1AWDH28,43444.35694,43444.82222
177,E1AWDH28,43445.41597,43445.91111
178,E1AWDH28,43446.85972,43447.61458
179,E1AWDH28,43455.59375,43455.66736
180,E1AWDH31,43444.3125,43444.54653
181,E1AWDH31,43452.57639,43452.69653
182,E1AWDH32,43448.80208,43449.66944
183,E1AWDH33,43435.15,43435.25486
184,E1AWDH33,43452.69792,43452.94792
185,E1AWDH33,43462.74375,43462.85417
186,E1AWDH34,43445.70625,43445.78333
187,E1AWDH34,43447.66181,43447.79861
188,E1AWDH36,43435.38403,43435.46458
189,E1AWDH36,43435.40833,43435.46389
190,E1AWDH36,43435.77361,43436.52639
191,E1AWDH36,43435.825,43436.25764
192,E1AWDH36,43439.71528,43439.77361
193,E1AWDH36,43439.92292,43440.38889
194,E1AWDH36,43440.42986,43440.49028
195,E1AWDH36,43440.52639,43440.66181
196,E1AWDH36,43442.52014,43442.60208
197,E1AWDH36,43443.425,43443.56181
198,E1AWDH36,43443.56181,43443.64722
199,E1AWDH36,43444.1125,43444.43194
200,E1AWDH36,43446.82222,43446.87153
201,E1AWDH36,43447.80278,43448.48681
202,E1AWDH36,43448.26389,43448.39583
203,E1AWDH36,43448.75,43448.85972
204,E1AWDH36,43451.48958,43451.63125
205,E1AWDH36,43451.83819,43452.44861
206,E1AWDH36,43452.53472,43452.58194
207,E1AWDH36,43452.58194,43452.78264
208,E1AWDH36,43453.51806,43453.5625
209,E1AWDH36,43453.675,43453.73056
210,E1AWDH36,43453.73056,43454.48403
